model,baseline,horizon,metric,error_model,error_baseline,skill,n_forecasts
fractional,seasonal_naive_12,2,RMSE,747.0053042553683,1049.8347855367897,0.2884544172601235,13
fractional,seasonal_naive_12,2,MAE,659.0569959776118,1002.9230769230768,0.3428638634983162,13
fractional,seasonal_naive_12,3,RMSE,975.0267389425104,1170.5403748828014,0.1670285281358762,13
fractional,seasonal_naive_12,3,MAE,809.63031122932,1105.8461538461538,0.2678635193390957,13
fractional,seasonal_naive_12,4,RMSE,1008.4322033920332,1182.5561297460683,0.1472436884593587,13
fractional,seasonal_naive_12,4,MAE,856.3126277660306,1118.3846153846157,0.2343308232369216,13
fractional,seasonal_naive_12,5,RMSE,1109.6505710997378,1278.389551800955,0.1319933978367571,13
fractional,seasonal_naive_12,5,MAE,968.7991868188928,1206.6153846153843,0.1970936230622462,13
fractional,seasonal_naive_12,6,RMSE,1138.3234637901714,1239.1724906317368,0.0813841717791459,13
fractional,seasonal_naive_12,6,MAE,1024.0269666642953,1160.0,0.1172181321859523,13
fractional,seasonal_naive_12,7,RMSE,1203.4520958544897,1237.4084892349692,0.0274415390518885,13
fractional,seasonal_naive_12,7,MAE,1125.6744366139353,1157.4615384615386,0.0274627715836274,13
fractional,seasonal_naive_12,8,RMSE,1351.2267887679975,1258.4132255161046,-0.0737544404095307,13
fractional,seasonal_naive_12,8,MAE,1256.1176627077198,1187.5384615384614,-0.0577490358336805,13
fractional,seasonal_naive_12,9,RMSE,1369.8317017734057,1207.9267043479597,-0.1340354483783372,13
fractional,seasonal_naive_12,9,MAE,1279.2813121054428,1105.076923076923,-0.1576400568961962,13
fractional,seasonal_naive_12,10,RMSE,1378.6258893922811,1189.9456677965145,-0.1585620475808413,13
fractional,seasonal_naive_12,10,MAE,1283.3204590165271,1071.1538461538462,-0.1980729599436159,13
fractional,seasonal_naive_12,11,RMSE,1372.8905130346038,1190.7543827339036,-0.1529586058566723,13
fractional,seasonal_naive_12,11,MAE,1275.2360772698255,1073.2307692307693,-0.1882216889698778,13
fractional,seasonal_naive_12,12,RMSE,1355.9841353776092,1152.9582019243437,-0.1760913215365529,13
fractional,seasonal_naive_12,12,MAE,1234.9520311927458,1016.1538461538462,-0.2153199398566008,13
fractional,SARIMA,1,RMSE,688.8578857553218,535.5474099013728,-0.2862687280705602,13
fractional,SARIMA,1,MAE,602.5973606917184,443.75531032457945,-0.3579496327626048,13
fractional,SARIMA,2,RMSE,747.0053042553683,595.8271489669029,-0.2537282088447821,13
fractional,SARIMA,2,MAE,659.0569959776118,479.89175759456066,-0.373345104490042,13
fractional,SARIMA,3,RMSE,975.0267389425104,725.7840762087603,-0.343411588796086,13
fractional,SARIMA,3,MAE,809.63031122932,629.7906718034269,-0.285554625493128,13
fractional,SARIMA,4,RMSE,1008.4322033920332,841.7129415623646,-0.1980714013024547,13
fractional,SARIMA,4,MAE,856.3126277660306,712.3437696016268,-0.2021058712213026,13
fractional,SARIMA,5,RMSE,1109.6505710997378,939.6535498611166,-0.1809145735295176,13
fractional,SARIMA,5,MAE,968.7991868188928,846.6801357904603,-0.1442328051247146,13
fractional,SARIMA,6,RMSE,1138.3234637901714,1022.4205466077988,-0.1133612949846487,13
fractional,SARIMA,6,MAE,1024.0269666642953,941.781720493969,-0.0873294144286302,13
fractional,SARIMA,7,RMSE,1203.4520958544897,1096.024089582696,-0.0980160995482279,13
fractional,SARIMA,7,MAE,1125.6744366139353,994.9613849980556,-0.1313749996600473,13
fractional,SARIMA,8,RMSE,1351.2267887679975,1161.5784418864696,-0.1632677915178317,13
fractional,SARIMA,8,MAE,1256.1176627077198,1080.8371616388647,-0.1621710534111158,13
fractional,SARIMA,9,RMSE,1369.8317017734057,1213.9590975945955,-0.128400210919515,13
fractional,SARIMA,9,MAE,1279.2813121054428,1113.7148738801668,-0.1486614232316434,13
fractional,SARIMA,10,RMSE,1378.6258893922811,1242.8052137492132,-0.1092855695651076,13
fractional,SARIMA,10,MAE,1283.3204590165271,1120.1467920642776,-0.1456716817012373,13
fractional,SARIMA,11,RMSE,1372.8905130346038,1291.7963394529736,-0.0627762837723866,13
fractional,SARIMA,11,MAE,1275.2360772698255,1170.939613753741,-0.0890707448027454,13
fractional,SARIMA,12,RMSE,1355.9841353776092,1283.5829386002322,-0.0564055462254209,13
fractional,SARIMA,12,MAE,1234.9520311927458,1127.155185854274,-0.0956362058138182,13
integer,persistence,1,RMSE,1185.7961452738227,389.7022532060165,-2.042825992199102,13
integer,persistence,1,MAE,1052.2441001777142,318.9230769230769,-2.299366450147198,13
integer,persistence,2,RMSE,1281.0705766942465,494.2705581110255,-1.5918407553752898,13
integer,persistence,2,MAE,1164.036880504358,408.15384615384613,-1.851956171608868,13
integer,persistence,3,RMSE,1530.8819375378198,709.9985915478987,-1.1561760202936149,13
integer,persistence,3,MAE,1386.1562181595857,505.6923076923077,-1.7411059987944348,13
integer,persistence,4,RMSE,1574.963502449497,720.2873892252475,-1.186576533213434,13
integer,persistence,4,MAE,1444.8331388520578,557.7692307692307,-1.5903779899430082,13
